"ID","HASH","NAME_USA","NAME_EUR","NAME_JAP","GENRE","DEVELOPER","YEAR","PLAYERS"
"24","0x4a4d7c14","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0xdeb3bad6","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0x28fad080","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0xbf88c33c","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0x3f9aa3c7","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"24","0x8c6a28d5","Beyond Oasis","The Story of Thor","The Story of Thor: Hikari o Tsugumono","?","?","1994","1"
"25","0x6035e97a","Theme Park","Theme Park","Theme Park","?","?","1995","1"
"26","0x6eb6226b","Ecco the Dolphin","Ecco the Dolphin","Ecco the Dolphin","?","?","1992","1"
"27","0xf3cced89","QuackShot Starring Donald Duck","QuackShot Starring Donald Duck","QuackShot: I Love Donald Duck, Guruzia Ou no Hihou","?","?","1991","1"
"27","0xcc81d50a","QuackShot Starring Donald Duck","QuackShot Starring Donald Duck","QuackShot: I Love Donald Duck, Guruzia Ou no Hihou","?","?","1991","1"
"27","0x8eb91cc6","QuackShot Starring Donald Duck","QuackShot Starring Donald Duck","QuackShot: I Love Donald Duck, Guruzia Ou no Hihou","?","?","1991","1"
"27","0xf9be2c50","QuackShot Starring Donald Duck","QuackShot Starring Donald Duck","QuackShot: I Love Donald Duck, Guruzia Ou no Hihou","?","?","1991","1"
"28","0xe0bb6fed","Golden Axe","Golden Axe","Golden Axe","?","?","1989","2"
"28","0x3c8c1d93","Golden Axe","Golden Axe","Golden Axe","?","?","1989","2"
"28","0x4b8b2d05","Golden Axe","Golden Axe","Golden Axe","?","?","1989","2"
"29","0xf9569f5b","Wonder Boy in Monster World","Wonder Boy in Monster World","Wonder Boy V: Monster World III","?","?","1991","1"
"29","0x19b1a146","Wonder Boy in Monster World","Wonder Boy in Monster World","Wonder Boy V: Monster World III","?","?","1991","1"
"30","0x98596dc6","Phantasy Star IV: The End of the Millennium","Phantasy Star IV: The End of the Millennium","Phantasy Star: Sennenki no Owari ni","?","?","1994","1"
"30","0x500a380c","Phantasy Star IV: The End of the Millennium","Phantasy Star IV: The End of the Millennium","Phantasy Star: Sennenki no Owari ni","?","?","1994","1"
"30","0xd9796e47","Phantasy Star IV: The End of the Millennium","Phantasy Star IV: The End of the Millennium","Phantasy Star: Sennenki no Owari ni","?","?","1994","1"
"30","0x58b33d57","Phantasy Star IV: The End of the Millennium","Phantasy Star IV: The End of the Millennium","Phantasy Star: Sennenki no Owari ni","?","?","1994","1"
"31","0x43d19d5b","Earthworm Jim","Earthworm Jim","Earthworm Jim","?","?","0","1"
"32","0xfa83b23a","Flashback: The Quest for Identity","Flashback: The Quest for Identity","Flashback","?","?","1993","1"
"32","0x6a39495e","Flashback: The Quest for Identity","Flashback: The Quest for Identity","Flashback","?","?","1993","1"
"33","0xc7dcdaf5","Mortal Kombat II","Mortal Kombat II","Mortal Kombat 2 - Kyuukyoku Shinken","?","?","1994","2"
"34","0x6ef26587","Alex Kidd in the Enchanted Castle","Alex Kidd in the Enchanted Castle","Alex Kidd: Tenkuu Majou","?","?","1989","1"
"34","0xa4c8abce","Alex Kidd in the Enchanted Castle","Alex Kidd in the Enchanted Castle","Alex Kidd: Tenkuu Majou","?","?","1989","1"
"34","0x1a09bcf5","Alex Kidd in the Enchanted Castle","Alex Kidd in the Enchanted Castle","Alex Kidd: Tenkuu Majou","?","?","1989","1"
"34","0x8300ed4f","Alex Kidd in the Enchanted Castle","Alex Kidd in the Enchanted Castle","Alex Kidd: Tenkuu Majou","?","?","1989","1"
"34","0x2bde0197","Alex Kidd in the Enchanted Castle","Alex Kidd in the Enchanted Castle","Alex Kidd: Tenkuu Majou","?","?","1989","1"
"35","0xf6b32dad","Comix Zone","Comix Zone","Comix Zone","?","?","1995","1"
"36","0x5cb57053","Alien Soldier","Alien Soldier","Alien Soldier","?","?","1995","1"
"37","0xc8a5d758","Mickey Mania: The Timeless Adventures of Mickey Mouse","Mickey Mania: The Timeless Adventures of Mickey Mouse","Mickey Mania","?","?","1994","1"
"38","0xb6c71832","Kid Chameleon","Kid Chameleon","Chameleon Kid","?","?","1992","2"
"38","0x1587e41e","Kid Chameleon","Kid Chameleon","Chameleon Kid","?","?","1992","2"
"39","0xb55c201b","The Revenge of Shinobi","The Revenge of Shinobi","The Super Shinobi","?","?","1989","1"
"39","0x7643f529","The Revenge of Shinobi","The Revenge of Shinobi","The Super Shinobi","?","?","1989","1"
"39","0xef4aa493","The Revenge of Shinobi","The Revenge of Shinobi","The Super Shinobi","?","?","1989","1"
"39","0x984d9405","The Revenge of Shinobi","The Revenge of Shinobi","The Super Shinobi","?","?","1989","1"
"39","0x62901a6","The Revenge of Shinobi","The Revenge of Shinobi","The Super Shinobi","?","?","1989","1"
"39","0x88c24590","The Revenge of Shinobi","The Revenge of Shinobi","The Super Shinobi","?","?","1989","1"
"40","0x2c1ae258","Castlevania: Bloodlines","Castlevania: The New Generation","Akumajou Dracula - Vampire Killer","?","?","1994","1"
"40","0x176d5b30","Castlevania: Bloodlines","Castlevania: The New Generation","Akumajou Dracula - Vampire Killer","?","?","1994","1"
"40","0x577e7b12","Castlevania: Bloodlines","Castlevania: The New Generation","Akumajou Dracula - Vampire Killer","?","?","1994","1"
"41","0x3a2a25d8","Michael Jackson's Moonwalker","Michael Jackson's Moonwalker","Michael Jackson's Moonwalker","?","?","1990","2"
"41","0x88289d87","Michael Jackson's Moonwalker","Michael Jackson's Moonwalker","Michael Jackson's Moonwalker","?","?","1990","2"
"41","0xff2fad11","Michael Jackson's Moonwalker","Michael Jackson's Moonwalker","Michael Jackson's Moonwalker","?","?","1990","2"
